0,1,http,https,#,@,len,negative_weight,positive_weight,neutral_weight
neutral,- Burkhardtsgrün beidseitig - Danke Marcus  - Langenwetzdorf Richtung Greiz kurz nach dem Dönerimbiss (blauer Opel... http://t.co/SWov6pjUyx,1,1,0,0,18,8,8,18
neutral,"-- Ding doch gleich? Ach komm schon Gwenny!* Tempel! Ich, wollte nach Tempel. Zu ähm..Madame Rossini, genau. *Ich nickte -- (@G_DeVilliers)",0,0,0,1,21,8,10,21
negative, ich kann nicht schlafen wenn du da tv schaust  boah ernsthaft^^,0,0,0,0,13,11,11,10
negative,' Ich lasse ihn noch nicht ran. Aber bald. :3 ' - Und nun ist mein kleines Herz wieder in tausend Stücke zerfallen. Danke. (:,0,0,0,0,25,25,18,18
negative,' Muss man erst sterben um geliebt und vermisst zu werden? ',0,0,0,0,12,12,6,9
neutral,"#1: Wellensittiche: halten, pflegen, beschäftigen http://t.co/BWqMjZcjTq",1,1,1,0,6,0,0,6
neutral,#10: Burials: Burials A.F.I. | Format: Audio CD 289% Verkaufsrang in Musik: 358 (war gestern 1.395)... http://t.co/b3XSq1MSvJ,1,1,1,0,17,4,3,17
neutral,#1730sat1 Vandalen verwüsten Hamelner Stadtfriedhof http://t.co/P8iiMLRCC8,1,1,1,0,6,0,0,6
neutral,"#2: Gangster Squad (Steelbook, exklusiv bei Amazon.de) [Blu-ray]: Gangster Squad (Steelbook, exklu... http://t.co/mKm5mj61cX #actionfilm",1,1,2,0,14,1,3,14
positive,"#25FatosSobreMim (25) acabei isto, happy",0,0,1,0,5,0,5,1
neutral,#6: Moritz Moppelpo braucht keine Windel mehr: Ein Spielbuch mit vielen Klappen: Moritz Moppelpo braucht keine... http://t.co/ke9YE0AcAf,1,1,1,0,17,5,6,17
neutral,#8: Once Upon a Time - Es war einmal... - Die komplette erste Staffel [6 DVDs] http://t.co/QaoOXuPWPu Best DVD/BluRay,1,1,1,0,19,8,10,19
neutral,"#87073 / Finanzantrag für ""Piraten klären auf"": 260 Euro x 3 Veranstaltungen = 780 Euro, abgelehnt #leuff",0,0,2,0,17,4,5,17
neutral,#Aachen: Zumba oder Salsa #deal #sparen http://t.co/mhMsgKwOxu,1,1,3,0,7,1,1,7
neutral,#Abhörskandal: Mainzer Innenpolitiker Michael #Hartmann fordert „tätige Reue“ der #USA #NSA #Merkel http://t.co/1iRI8vYIFS,1,1,5,0,13,3,4,13
neutral,#AGAMA #dewa Hitman Absolution - Complete Edition ab heute erhältlich,0,0,2,0,10,4,3,10
neutral,#Allgemeines Re: Pani geht ohne Vorwahrnung aus!! http://t.co/JVVKrQBB2K #Ducati #SBK,1,1,3,0,10,2,2,10
neutral,#Alps #adria #alpeadria #österreich #austria #train #eurotrip #nature #öbb @ Villach Hauptbahnhof http://t.co/iIZTVP7mWf,1,1,9,1,13,0,2,13
neutral,#AMAZON Bestsellers #9: Jagd auf eine Bestie 2. Teil: Thriller.. http://t.co/8tVhPDmHX0 #Bücher #KINDLE #kostenlos,1,1,5,0,14,3,3,14
neutral,"#Amazon de: Die Feuerzangenbowle Heinz Rühmann (Darsteller), Hilde Sessak (Darsteller), Helmut We... http://t.co/RILlXg7jOz #Filme &amp; #TV",1,1,3,0,16,4,2,16
negative,#Amazon de: Gib mir meinen Stern zurück Amanda Frost (Autor) 327% Verkaufsrang in Kindle-Shop: 3... http://t.co/Y84QXmsAdF #Kindle #Shop,1,1,3,0,18,18,7,10
neutral,"#Amazon de: Ritzel 15 Zähne, Teilung 415 Typ 235-15 für Hercules Prima GT, Prima 1,2,5, M 25, MX-1,G... http://t.co/q8qMOyKjYI #Motorrad",1,1,2,0,20,7,3,20
neutral,#AMAZON Top Gratis #4: Das Gespenst Des Kommissars.. http://t.co/q2gh9dLUyX #Bücher #KINDLE #Belletristik,1,1,5,0,12,2,3,12
neutral,#AMAZON Top Gratis #5: Von nun an für immer.. http://t.co/51fw5AeaU2 #Bücher #KINDLE #Belletristik,1,1,5,0,13,5,6,13
neutral,#AMAZON Top gratis Kinder- &amp; Jugendbücher #2: Nebelwelt: Jugendbuch | Fantasy.. http://t.co/ZcoPuQMHiX #Bücher #KINDLE,1,1,4,0,14,4,4,14
neutral,#AMAZON Top gratis Kinder- &amp; Jugendbücher #5: Aldrians Abenteuer Teil I + II.. http://t.co/BL3Zz3yznt #Bücher #KINDLE,1,1,4,0,16,6,5,16
neutral,#anderefragen: Lästigen #Mief entfernen http://t.co/ULF6UcrdbC,1,1,2,0,5,1,0,5
neutral,#Android: WhatsApp: Rechtliche Schritte gegen Software-Mod WhatsApp+ http://t.co/b0pt9KSyBE #androidnext,1,1,2,0,9,1,1,9
neutral,#Annonces Gratis für alle Angebote http://t.co/mYWCvfKwQe #Suisse #Switzerland,1,1,3,0,8,2,3,8
neutral,#Anonymous #Hamburg Link: NSA-Affäre: Friedrich will notfalls US-Diplomaten ausweisen: Reiner Zufall posted a ... http://t.co/XUebgDdpWH,1,1,2,0,15,3,3,15
neutral,#ard #n24 #ntv 17.10.2013: [News] PARADISE LOST – neuer Song online: Am 18.10.2013 erscheint ... http://t.co/3SEHA4kUSG #rtl #sat1 #pro7,1,1,6,0,19,4,9,19
neutral,#ard #n24 #ntv Seht das neue Omnium Gatherum-Video ‘The Sonic Sign’ zuerst hier: Aus dem aktu... http://t.co/5RQi2Q8cZH #rtl #sat1 #pro7,1,1,6,0,20,5,7,20
neutral,"#ARD: Hart aber fair, #ZDF: Heute-journal, #ORF1: ZIB Flash, #ORF2: Seitenblicke - Gourmet, #3sat: Das neue Leipzig, #MDR: MDR aktuell",0,0,6,0,20,4,6,20
neutral,"#ARD: Monitor, #ZDF: Heute-journal, #3sat: Geheimnisse der Wüste, #MDR: MDR aktuell, #MOTORVISION: Top Gear, #NDR: NDR aktuell",0,0,6,0,17,2,3,17
neutral,"#ARD: Tagesschau, #ORF2: Sturm der Liebe, #DASVIERTE: Die Sullivans, #Eurosport: Fussball, #MDR: MDR um elf, #MTV: Top 11 at 11",0,0,6,0,20,4,8,20
